x,y,punkte
0.2629,-0.1344,0.1
0.9164,0.4413,0
-0.8455,0.0691,0.4
-0.5896,0.3243,0.4
0.9502,-0.0720,0.2
-0.6502,0.9934,0
0.6389,-0.5018,0.1
-0.7871,0.0019,0.4
0.4852,0.2876,0.2
-1.2900,-0.0760,0
0.8771,-1.1669,0
0.2400,-1.2180,0
-0.6059,-1.1394,0
-0.8172,0.7372,0
0.0789,-1.2295,0
-0.8502,0.8910,0
-0.0319,0.8035,0.3
-0.4694,-0.1303,0.4
-1.2027,-1.1664,0
0.1472,0.2515,0.3
-0.6625,0.3788,0.4
-0.7553,-0.5106,0.5
0.6204,0.9326,0
0.0208,-0.7691,0.1
-0.5611,-0.5382,0.5
-1.1058,0.4156,0
0.4700,0.5020,0.2
1.1124,-1.0713,0
1.1537,-0.1790,0
1.1500,-0.9430,0
-1.0115,-1.2588,0
-0.3628,-0.0475,0.4
0.2910,1.0389,0
-1.0983,0.5710,0
1.1307,-0.5765,0
0.5371,-0.8330,0.1
0.0528,0.8369,0.3
-0.9865,1.2887,0
0.1633,1.0819,0
-0.1716,0.2040,0.4
-0.4239,0.2502,0.4
-0.4603,0.5965,0.4
-0.5325,-0.1306,0.4
0.8921,0.5072,0
1.2844,1.0145,0
-0.1771,0.1176,0.4
-0.5306,-1.0377,0
0.5115,-0.4854,0.1
0.7435,1.0524,0
-1.0565,-0.0640,0
0.8371,-0.9621,0
1.2291,-0.8362,0
0.5445,0.5192,0.2
-0.7197,-0.2266,0.4
-0.8751,0.4021,0.4
-0.4266,-0.7619,0.5
0.3351,1.0059,0
-0.4514,0.7603,0.3
-0.2783,-0.9584,0.5
0.9456,-0.3388,0
-1.2752,0.6173,0
0.3517,0.9774,0
1.0612,-0.7566,0
0.2702,-0.0280,0.2
-0.8215,-1.1766,0
0.5344,0.5418,0.2
-0.5421,-0.5837,0.5
-0.4248,-1.2243,0
-0.7257,1.2832,0
0.1881,1.2703,0
-0.8739,-0.8558,0
0.1585,-0.5395,0.1
-0.2739,-0.1705,0.5
-0.2123,0.4840,0.3
-0.2639,-0.4261,0.5
1.0287,-0.4490,0
-0.0123,0.2883,0.3
0.1205,0.2322,0.3
-0.6879,-0.4540,0.5
-0.5232,-0.4665,0.5
0.4402,-0.7257,0.1
-0.8598,0.5070,0.4
-0.4830,-0.9752,0
-0.4841,-1.1897,0
0.2016,-0.7600,0.1
-0.0480,-0.3122,0.5
0.5513,1.0728,0
0.8104,-0.1577,0.2
-0.8992,0.9558,0
0.0668,0.8850,0.3
1.0257,-0.1297,0
-0.9189,0.3087,0.4
0.7997,-0.7581,0
-0.2869,0.1187,0.4
1.2597,-0.0208,0
0.9347,0.8923,0
0.6334,-1.1608,0
-1.1197,-0.8598,0
0.0170,0.4593,0.3
0.6781,1.2778,0
0.8215,0.3422,0.2
0.8761,0.9177,0
0.2584,-0.3872,0.1
-0.1380,0.9838,0.3
0.4706,-0.3920,0.1
1.1376,0.3274,0
-0.4437,0.8961,0.3
-0.9059,-0.3490,0.5
-1.2481,-1.0777,0
0.3839,0.5885,0.3
1.1854,0.9866,0
-0.0878,0.5394,0.3
-0.9226,-0.5899,0
-0.9382,-1.1760,0
-0.5434,-0.1534,0.4
0.1788,0.5626,0.3
0.7633,0.7405,0
-0.7906,0.4325,0.4
0.0463,-0.1468,0.1
-0.0805,-0.1064,0.5
-0.1949,-0.4370,0.5
-0.5003,-0.9161,0
0.0120,-0.6048,0.1
0.0794,0.1247,0.3
0.3832,-0.1633,0.1
-0.9495,-1.2902,0
-0.9147,1.1524,0
-1.1198,0.9637,0
-0.1810,0.0064,0.4
-1.0431,0.8363,0
-1.1525,-0.3364,0
-0.7028,0.5272,0.4
0.1665,-1.0540,0
1.2126,0.6503,0
0.4191,0.7706,0.3
0.1269,0.7926,0.3
0.0703,-0.8402,0.1
-1.0970,-1.0507,0
-1.1451,-0.6168,0
0.4476,0.4377,0.2
0.1586,1.2393,0
-1.2425,-0.2684,0
-0.4216,-0.5613,0.5
0.8661,0.0954,0.2
-0.7671,1.1552,0
1.1755,-0.6077,0
0.0477,0.9360,0.3
1.1319,0.4809,0
0.1782,0.8058,0.3
-0.4889,-0.0155,0.4
0.6507,0.1293,0.2
0.4869,0.1411,0.2
0.1196,1.2141,0
1.2592,0.6931,0
-0.4973,0.3420,0.4
0.4366,0.9482,0
-0.2942,0.9826,0
-0.4759,0.9877,0
-0.2256,-0.4169,0.5
0.0854,0.8756,0.3
0.3064,0.9561,0
0.4980,-0.9078,0
-0.5545,1.1998,0
-0.0347,-0.5854,0.5
0.3400,0.7051,0.3
0.6196,0.5586,0.2
-0.8167,0.9015,0
1.0467,0.1163,0
-0.0746,-1.1115,0
-0.0002,1.0224,0
0.4557,-0.2051,0.1
-0.1488,0.3012,0.3
0.5649,0.0465,0.2
-1.1874,-0.8643,0
-1.0463,-0.9850,0
-0.3241,0.8533,0.3
